id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,11:30-11:45,14,94,7,12,60,8,14,124,26,5,62,16,13,37,9,26,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,11:45-12:00,10,78,3,10,51,5,20,108,25,2,50,10,12,36,10,15,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,12:00-12:15,23,101,9,4,63,10,38,118,18,9,65,13,29,36,10,14,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,12:15-12:30,29,137,15,7,71,13,20,132,19,8,71,13,33,59,13,21,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,12:30-12:45,23,121,11,4,54,,16,123,18,3,51,8,29,27,17,27,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,12:45-13:00,15,110,3,6,43,,18,149,30,2,58,6,15,48,11,10,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,14:00-14:15,12,100,1,5,50,7,12,123,24,3,48,16,8,19,10,19,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,14:15-14:30,20,159,1,8,59,6,20,148,21,1,60,14,5,41,16,8,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,14:30-14:45,24,164,3,5,63,7,18,142,16,9,96,11,5,34,11,14,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,14:45-15:00,18,161,5,7,52,5,19,162,18,1,52,5,12,23,11,10,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,15:00-15:15,20,151,3,5,79,6,17,152,23,6,79,9,9,28,10,10,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,15:15-15:30,24,120,4,7,91,7,16,187,13,3,51,13,11,38,14,13,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,15:30-15:45,19,116,4,4,100,9,15,172,17,3,50,10,12,41,12,11,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,15:45-16:00,23,119,5,5,87,,19,201,15,4,58,9,8,36,21,13,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,16:00-16:15,20,89,8,3,93,3,14,215,14,9,61,6,5,39,9,9,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,16:15-16:30,16,120,3,,79,7,12,193,16,6,43,8,1,42,11,14,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,16:30-16:45,18,101,10,3,110,10,21,209,15,13,47,7,3,27,14,7,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,16:45-17:00,23,113,5,5,135,5,30,194,12,11,51,5,2,41,16,3,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,17:00-17:15,13,97,2,,105,,22,183,21,8,56,6,,36,21,9,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,17:15-17:30,9,107,,6,111,2,19,191,19,7,46,8,4,46,13,5,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,17:30-17:45,12,127,1,7,89,3,18,196,22,9,43,11,9,32,26,,,,,,38.908838,-77.031949
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/September/RHODE%20ISLAND%20AVENUE%20%26%2014TH%20STREET%20NW.txt,RHODE ISLAND AVENUE NW & 14TH STREET,x,9/25/2003,17:45-18:00,14,116,3,9,76,4,20,189,18,5,49,9,12,39,17,2,,,,,38.908838,-77.031949
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,07:00-07:15,5,93,,,,,,311,,3,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,07:15-07:30,7,82,,,,,,306,,1,,2,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,07:30-07:45,5,99,,,,,,259,,6,,5,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,07:45-08:00,14,74,,,,,,206,4,1,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,08:00-08:15,7,101,,,,,,277,3,1,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,08:15-08:30,16,80,,,,,,200,,1,,,,1,1,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,08:30-08:45,9,54,,,,,,255,4,,,,,,1,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,08:45-09:00,7,92,,,,,,242,2,1,,3,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,09:00-09:15,5,83,,,,,,113,1,4,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,09:15-09:30,3,75,,,,,,201,,,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,09:30-09:45,4,95,,,,,,171,2,4,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,09:45-10:00,2,88,,,,,,144,,1,,1,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,10:00-10:15,2,75,,,,,,149,,2,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,10:15-10:30,1,69,,,,,,131,1,1,,1,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,10:30-10:45,1,67,,,,,,123,,2,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,10:45-11:00,,70,,,,,,113,,1,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,11:00-11:15,1,58,,,,,,142,2,2,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,11:15-11:30,,80,,,,,,130,,1,,,,,,2,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,11:30-11:45,7,80,,,,,,127,,,,2,,1,,1,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,11:45-12:00,2,96,,,,,,139,1,,,1,,,,1,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,12:00-12:15,3,128,,,,,,144,,1,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,12:15-12:30,2,131,,,,,,130,,2,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,12:30-12:45,4,130,,,,,,123,,2,,,,1,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,12:45-13:00,2,132,,,,,,139,,1,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,14:00-14:15,6,135,,,,,,133,,1,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,14:15-14:30,4,163,,,,,,139,,2,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,14:30-14:45,4,166,,,,,,118,,,,3,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,14:45-15:00,2,193,,,,,,127,,2,,,,1,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,15:00-15:15,3,187,,,,,,129,,1,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,15:15-15:30,2,167,,,,,,127,,2,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,15:30-15:45,3,159,,,,,,123,,,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,15:45-16:00,1,178,,,,,,126,3,2,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,16:00-16:15,6,229,,,,,,139,,2,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,16:15-16:30,5,225,,,,,,144,,3,,2,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,16:30-16:45,5,261,,,,,,139,,3,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,16:45-17:00,5,242,,,,,,151,,6,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,17:00-17:15,7,242,,,,,,139,,4,,,,,2,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,17:15-17:30,3,239,,,,,,126,,2,,,,,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,17:30-17:45,3,231,,,,,,118,,3,,,,1,,,,,,,38.862880,-76.959178
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/April/BRANCH%20AVENUE %20SE%20%26%20W%20STREET.txt,BRANCH AVENUE SE & W STREET,x,4/14/2004,17:45-18:00,8,236,,,,,,132,1,7,,,,,,,,,,,38.862880,-76.959178
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,07:00-07:15,22,12,3,4,45,7,4,15,20,9,206,,4,,,9,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,07:15-07:30,13,7,,3,51,14,2,19,27,3,211,,9,,,4,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,07:30-07:45,27,17,,4,48,11,,19,24,10,217,2,21,6,2,10,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,07:45-08:00,22,18,1,15,60,14,,11,15,6,269,2,25,11,7,15,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,08:00-08:15,29,23,3,13,67,16,,19,21,12,236,2,36,15,5,21,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,08:15-08:30,24,19,,12,48,21,,23,20,10,244,1,41,12,5,20,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,08:30-08:45,49,21,3,7,53,13,,10,12,8,254,,79,12,7,49,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,08:45-09:00,35,28,1,11,48,24,1,14,16,11,244,1,65,9,6,49,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,09:00-09:15,33,26,3,20,56,18,,20,21,16,249,,67,11,3,32,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,09:15-09:30,26,25,3,18,41,11,2,11,8,11,182,,39,7,3,2,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,09:30-09:45,29,28,3,14,43,9,2,14,11,9,160,2,25,8,4,17,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,09:45-10:00,11,10,,9,36,14,,13,9,8,109,1,21,6,2,3,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,10:00-10:15,11,7,,7,39,13,,12,11,5,97,1,11,3,2,3,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,10:15-10:30,12,3,3,5,43,11,1,11,17,3,81,2,9,5,3,5,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,10:30-10:45,13,4,,7,54,14,2,13,22,3,83,1,9,7,3,5,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,10:45-11:00,27,5,8,5,65,18,1,15,19,2,97,1,15,6,,2,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,11:00-11:15,10,10,1,6,56,19,2,8,18,3,75,,6,8,6,3,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,11:15-11:30,12,7,4,9,54,33,,11,19,6,72,2,8,3,2,9,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,11:30-11:45,8,5,2,6,48,16,1,12,23,2,93,2,13,8,,8,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,11:45-12:00,11,4,,7,65,25,2,15,15,2,56,,27,15,2,4,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,12:00-12:15,11,6,1,14,66,12,,5,23,3,70,1,27,18,,2,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,12:15-12:30,19,5,,12,74,9,,7,26,4,65,1,19,27,,11,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,12:30-12:45,18,13,3,17,86,11,3,4,19,5,94,1,61,14,6,29,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,12:45-13:00,22,10,1,14,74,16,3,10,18,8,79,1,55,8,8,21,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,14:00-14:15,24,21,3,14,65,14,3,9,18,10,87,1,32,7,8,14,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,14:15-14:30,27,14,5,16,84,20,4,11,21,12,81,2,15,14,3,3,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,14:30-14:45,20,12,2,21,83,22,2,14,20,3,90,1,7,2,3,7,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,14:45-15:00,23,12,1,19,91,21,5,19,17,5,64,1,5,7,4,5,,,,,38.895207,-77.003510
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2004/August/MASSACHUSETTS%20AVENUE %20NE%20%26%202ND%20STREET.txt,MASSACHUSETTS AVENUE NE & 2ND STREET,x,8/24/2004,15:00-15:15,22,11,4,17,101,23,3,21,19,3,73,2,7,11,3,9,,,,,38.895207,-77.003510
